매핑된_작물,꿀벌 연관 여부,원재료
미분류,미분류,냉동연육
미분류,미분류,전분
미분류,미분류,밀가루
미분류,미분류,정제염
미분류,미분류,소르빈산칼륨
미분류,미분류,글루코노-δ-락톤
미분류,미분류,l-글루타민산나트륨
미분류,미분류,설탕
미분류,미분류,파래김
미분류,미분류,찹쌀
미분류,미분류,참깨
미분류,미분류,콩기름(대두유)
미분류,미분류,천일염
미분류,미분류,연근
미분류,미분류,새우분말
미분류,미분류,귀리분말
미분류,미분류,다시마분말
미분류,미분류,우엉분말
미분류,미분류,표고버섯가루
미분류,미분류,정제수
미분류,미분류,타피오카전분
미분류,미분류,가시오갈피분말
미분류,미분류,알카리제
미분류,미분류,효소식품
미분류,미분류,치커리뿌리추출물
미분류,미분류,난소화성말토덱스트린(고시형)
미분류,미분류,분리대두단백
미분류,미분류,프락토올리고당
미분류,미분류,당류가공품
미분류,미분류,서류가공품
미분류,미분류,기타가공품
미분류,미분류,귀리식이섬유
미분류,미분류,혼합제제
미분류,미분류,이산화규소
미분류,미분류,곡류가공품
미분류,미분류,까나라
미분류,미분류,식염2
미분류,미분류,백태
미분류,미분류,팽화미
미분류,미분류,팽화찹쌀분말
미분류,미분류,복합조미식품
미분류,미분류,쌀
미분류,미분류,국
미분류,미분류,효모
미분류,미분류,아스파탐
미분류,미분류,아세설팜칼륨
미분류,미분류,돼지뼈엑기스
미분류,미분류,치킨엑기스1호
미분류,미분류,양파
미분류,미분류,백설탕
미분류,미분류,효모분말
미분류,미분류,양파분말
미분류,미분류,효모추출분말
미분류,미분류,마늘
미분류,미분류,대두기름
미분류,미분류,스테빌라이져xc-8444
미분류,미분류,흑후추가루
미분류,미분류,계피
미분류,미분류,황기
미분류,미분류,대추
미분류,미분류,생강
미분류,미분류,간장
미분류,미분류,돌게
미분류,미분류,코치닐추출색소
미분류,미분류,구연산삼나트륨
미분류,미분류,황산알루미늄칼륨
미분류,미분류,탄산나트륨
미분류,미분류,폴리글리세린축합리시놀레인산에스테르
미분류,미분류,d-토코페롤(혼합형)
레몬,꿀벌 수분 연관,레몬베이직오일
레몬,꿀벌 수분 연관,레몬오일
라임,꿀벌 수분 연관,라임오일
오렌지,꿀벌 수분 연관,오렌지오일
미분류,미분류,리나롤
미분류,미분류,합성착향료(α-terpineol)
미분류,미분류,시트랄
미분류,미분류,합성착향료(ethanol)
미분류,미분류,자당지방산에스테르
미분류,미분류,트리아세틴
미분류,미분류,주정
미분류,미분류,천연향료
망고,꿀벌 수분 연관,망고베이직오일
미분류,미분류,s-1
미분류,미분류,합성착향료(ethylmaltol)
미분류,미분류,매실식초
미분류,미분류,올리브고당
미분류,미분류,벌굴
바닐라,꿀벌 수분 연관,바닐라향베이스
미분류,미분류,j-1
미분류,미분류,벤조인레지노이드
미분류,미분류,gras.no.2133
미분류,미분류,프로필렌글리콜
미분류,미분류,밤향베이스
미분류,미분류,푸라네올
미분류,미분류,원재료미등록
미분류,미분류,소브산칼륨
미분류,미분류,메타중아황산칼륨
사과,꿀벌 수분 연관,사과열매
사과,꿀벌 수분 연관,사과
미분류,미분류,배
미분류,미분류,석류농축액
미분류,미분류,구연산
미분류,미분류,베리류색소
미분류,미분류,소스
라임,꿀벌 수분 연관,라임주스
미분류,미분류,조미액젓
미분류,미분류,l-글루탐산나트륨
미분류,미분류,5-리보뉴클레오티드이나트륨
미분류,미분류,타마린드검
미분류,미분류,우뭇가사리
미분류,미분류,대두
미분류,미분류,우유
미분류,미분류,전지분유
미분류,미분류,젖산균
미분류,미분류,입국
미분류,미분류,올리고당
미분류,미분류,사카린나트륨
미분류,미분류,정제효소제
미분류,미분류,김
미분류,미분류,옥수수오일
미분류,미분류,맛소금
참깨,꿀벌 수분 연관,참기름
미분류,미분류,아황산나트륨
미분류,미분류,액상과당
미분류,미분류,금귤
감귤,꿀벌 수분 연관,감귤
미분류,미분류,대추과육
미분류,미분류,대추엑기스
미분류,미분류,벌꿀
미분류,미분류,고과당
미분류,미분류,스트로베리색소
미분류,미분류,생강즙
미분류,미분류,합성향료(ethylmaltol)
미분류,미분류,합성향료
미분류,미분류,합성향료(ethyl2-methylbutyrate)
미분류,미분류,합성향료(methylanthranilate)
미분류,미분류,합성향료(ethylacetate)
미분류,미분류,합성향료(ethylbutyrate)
미분류,미분류,합성향료(ethylacetoacetate)
미분류,미분류,합성향료(ethylisobutyrate)
미분류,미분류,합성향료(cis-3-hexen-1-ol)
미분류,미분류,합성향료(ethylpropionate)
미분류,미분류,치자황zh
미분류,미분류,치즈향베이스dh-2272
미분류,미분류,팔미트산
미분류,미분류,미리스트산
미분류,미분류,라우린산
미분류,미분류,프로피온산
미분류,미분류,카프릭산
미분류,미분류,카프릴산
미분류,미분류,낙산
미분류,미분류,합성착향료(delta-decalactone)
미분류,미분류,합성착향료(delta-dodecalactone)
미분류,미분류,글리세린지방산에스테르
미분류,미분류,칡
미분류,미분류,베이스
미분류,미분류,글리세린
미분류,미분류,정제소금
미분류,미분류,타피오카전분향
미분류,미분류,산머루
미분류,미분류,호모
미분류,미분류,중아황산칼륨
미분류,미분류,옥수수
미분류,미분류,탄산수소나트륨
감귤,꿀벌 수분 연관,감귤향#3
미분류,미분류,한라봉향dj-3493/b
미분류,미분류,멥쌀
